path,artifact_class,sha256,size_bytes
reports/gate5_4_product_integration/pf4/artifact_manifest.md,CURATED_EVIDENCE,2118fc756c8bb9c154dec0bd5bb606b96fcc282dd9d094703723824bc5e43365,2945
reports/gate5_4_product_integration/pf4/baseline_manifest.md,CURATED_EVIDENCE,4ab86d3e29d89a277c2aea0a651bd19b2234d27d98e718c82a0b795a8f1551c0,1220
reports/gate5_4_product_integration/pf4/directive_audit.md,CURATED_EVIDENCE,81d13fcd2c8eda026a22783df3136355467f14b96c5ca4194d905024f0adc04c,577
reports/gate5_4_product_integration/pf4/hls_synthesis_timing_audit.md,CURATED_EVIDENCE,c2cb86d8e90cc0e4201b0697ba056698c849fd58c686712696aa3b278b8a6dc2,2560
reports/gate5_4_product_integration/pf4/pf4_artifact_provenance_repair.md,CURATED_EVIDENCE,b65b1b8238a08ca52b83f20535cc2186fae6e7a8d170b409485708f4398f8006,1975
reports/gate5_4_product_integration/pf4/pf4_branch_recovery_architecture.md,CURATED_EVIDENCE,4f493d23c3edfcc72a2c9c5afd7d9bcacdb1b0bccb992c20f86c51e8c663ad59,3984
reports/gate5_4_product_integration/pf4/pf4_canonical_synthesis.csv,CURATED_EVIDENCE,0de75edb62fd12a5a94aa9bbf611b1e6cc6e07d3d8a562f6fffecacbea8298dd,456
reports/gate5_4_product_integration/pf4/pf4_ftq_prediction_lookup_contract.md,CURATED_EVIDENCE,37cc8dd348e9bb1ebcce4f0773c324ff9a6cf4a3e877e55a3581512d6330f7e4,1330
reports/gate5_4_product_integration/pf4/pf4_prediction_resolution_truth_table.csv,CURATED_EVIDENCE,825721046bdd16cdc364f6490d155bf16bd2d443f6ae6a1ec1c24634f1e600e1,902
reports/gate5_4_product_integration/pf4/pf4_preservation_matrix.csv,CURATED_EVIDENCE,98f7bf35ef1d758fa67e8f3df53abdc02b846bfcfb41f95ee612ef32b28ebba3,3057
reports/gate5_4_product_integration/pf4/pf4_redirect_priority.md,CURATED_EVIDENCE,679294a3b63e68b4bc6d641c06712cc60e92efcc830bdb808abcabf6aaa9e868,1071
