path,category,sha256,role
reports/gate5_3_fetch_buffer/b3i/b3i_results.md,FINAL_REPORT,6d563fa290ef405538713e68de1168b29fc48acb437420cf31083538b4f071b0,accepted B3I result and final review readiness
reports/gate5_3_fetch_buffer/b3i/source_hashes_after.txt,SOURCE_BINDING,8ca98b9c266f00066db9a20d57fdf1b7a5b92fc753f4db9c91ea9d62f519c678,final source hash inventory
reports/gate5_3_fetch_buffer/b3i/logs/directed.log,NATIVE_EVIDENCE,23d969ec972fbc0b451819a072ce7f220ae0673b2d3b407f703853b02033a69f,193030 directed and exhaustive checks
reports/gate5_3_fetch_buffer/b3i/logs/random.log,NATIVE_EVIDENCE,5736b09d9eb241c580d2a60bcb4d68a7c7d2099ba877ca8a2ce6c702a4664920,256 by 4096 persistent random
reports/gate5_3_fetch_buffer/b3i/logs/utilization.log,NATIVE_EVIDENCE,f944ee59aa3d8e3934d0b1f54c8b8b86c520f43ca29fb158be3ab1f61fdc4002,six packet utilization scenarios
reports/gate5_3_fetch_buffer/b3i/logs/full_core_native.log,FULL_CORE_EVIDENCE,1446ed9f7e1cd5af30b5591b79d919df4b7853c7b180926976ce43412951c71b,six native programs
reports/gate5_3_fetch_buffer/b3i/logs/b3i_csim.log,FULL_CORE_EVIDENCE,9d69aa741a6b221b3143e9ab0442fac2ec9c7052c6cdd9b42792ae8e9d727808,six Vitis csim programs
reports/gate5_3_fetch_buffer/b3i/rtl_test_matrix.csv,RTL_EVIDENCE,d0d7dc5afe719625f5e840a55481c6face1c05b700364e0f436f915bd3c87fe9,95 focused RTL cases
reports/gate5_3_fetch_buffer/b3i/logs/packet_rtl.log,RTL_EVIDENCE,5e361271a3630ee456eb4bb2821f9dac53ca80fbb1590a95c5ecd40bef39cfe1,59 helper RTL cases
reports/gate5_3_fetch_buffer/b3i/logs/packet_frontend_rtl.log,RTL_EVIDENCE,a4fd02da709b42ecbef1ee4ad798499b1cb0a34bcfdca2a13fc831c08a3b7049,36 frontend integration RTL cases
reports/gate5_3_fetch_buffer/b3i/rtl/full_core_rtl_matrix.csv,FULL_CORE_RTL_EVIDENCE,32eb70d85b0fd4de607c101c0bae976e7ff020e90e05bdc066af284caed3f9da,six generated RTL programs
reports/gate5_3_fetch_buffer/b3i/rtl/generation_provenance.md,SOURCE_BINDING,1596a8cf5f4df3f2b9e77b0cc3e16a0953a6d43617c4ea17ef1242fbfadbfe9c,generated RTL provenance
reports/gate5_3_fetch_buffer/b3i/rtl/source_freshness_manifest.csv,SOURCE_BINDING,603e54f0ecb76515a47a1f1ae32938d28506e77cc1a40be56c668078662494d8,current modular source binding
reports/gate5_3_fetch_buffer/b3i/regression_after.md,PRESERVATION_EVIDENCE,07db7e67f0709723bc1ccf362f54c27c062d5e3c06bd7384f793fad72e0f40aa,preservation summary
reports/gate5_3_fetch_buffer/b3i/regression/run_status.csv,PRESERVATION_EVIDENCE,471de4b2eb64646bbea6681da9843e921583187b0f04705a22b089434fd213f7,preservation runner status
reports/gate5_3_fetch_buffer/b3i/b3i_ppa.csv,PPA_EVIDENCE,df4b9a16bf74cc1340ae6e485f9a09340df255276831b5099cc69f03c845b94c,standalone and canonical csynth PPA
reports/gate5_3_fetch_buffer/b3i/resource_comparison.csv,PPA_EVIDENCE,f08dc437e6112fcfeda5b478f8e2ef08dbf601e980df27f432fdb165ce461567,B2 to B3I resource delta
reports/gate5_3_fetch_buffer/b3i/critical_path_impact.md,PPA_EVIDENCE,9c59f8bc3c86cc2b1e2064c4d8ab5cf87303e80297d27364db3b2bf0cfa27fea,critical path acceptance
reports/gate5_3_fetch_buffer/b3i/packet_utilization.csv,UTILIZATION_EVIDENCE,e79808cda3fddd4cf41da95974cca326ce51ac5308bad6902ca379fd46df98ee,packet slot utilization
reports/gate5_3_fetch_buffer/b3i/throughput_comparison.csv,UTILIZATION_EVIDENCE,686706ed315dba6eb35603d2b1c22268e445b9cd9a44ffdcbdb5ae7c0f21ff79,B2 and B3I native-call comparison
reports/gate5_3_fetch_buffer/b3i/throughput_analysis.md,UTILIZATION_EVIDENCE,4119f8d7f74f0eef4fdda96e783dadd7f2125c329d721b1398c375998231b704,qualified throughput interpretation
reports/gate5_3_fetch_buffer/b3i/test_integrity_audit.md,AUDIT_EVIDENCE,13c49bed16c37fa35f72110b226a8f8ab8204d30e17b4d8098373afc55ace180,test integrity and directive audit
