gate,producer,test,program,outcome,comparison,path,sha256,bytes,records,commit
GATE4_0_W2,hls_cpp,,branch_not_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/branch_not_taken_hls_cpp_full.jsonl,c12910d7ef07c9ed61defc441a3dcf596ab6e7fa204de00b34207bee868ae745,6694,16,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,branch_not_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/branch_not_taken_hls_csim_full.jsonl,879c383679ca06d5758ee1f87f2a2085549a8d3d38baaf83d9682314d2d14309,6710,16,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,branch_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/branch_taken_hls_cpp_full.jsonl,546a9fbeae0d700e5b233ea8ed8c7741b08983ad45a17dd13d298d199acfef08,6154,15,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,branch_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/branch_taken_hls_csim_full.jsonl,3f7bce43dc475ddf287087312ca3fc6ea1602ae985bfe8115299d53339ba5d61,6169,15,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,independent_alu,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/independent_alu_hls_cpp_full.jsonl,6c95f599798fbf7cd85b991880dd4949d9bbee26652f4f2d258962fed343f494,5489,13,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,independent_alu,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/independent_alu_hls_csim_full.jsonl,1c204807978037ed6f1cbfa0ae564db0dcc31bf5e8284af7a04db2b7bae46b42,5502,13,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,load_store,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w2/regression/hls_traces/load_store_hls_cpp_full.jsonl,f9308f97371046c695bf507e8efa489d1ca9964720bc2b5bbf3dc0a2c9d72b62,5951,14,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,load_store,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w2/regression/hls_traces/load_store_hls_csim_full.jsonl,3c64bfb4df1c6454c7ea47e542634b7782a7ba3c84c98cdc91e0b15c79304dc4,5965,14,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,nested_branch,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/nested_branch_hls_cpp_full.jsonl,ca04cbcd6261625a23398b4e310cb48652bf54a5e5f43200efe69f8dff355002,6875,17,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,nested_branch,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/nested_branch_hls_csim_full.jsonl,14024a8294cdc4f9eab6bbbb54b45f81b46acc7e1910c4e8d6c187ccd079346f,6892,17,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,raw_chain,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/raw_chain_hls_cpp_full.jsonl,ee0f1ddf131cd77f0267fb110f5f29eba8c5fe5c8cf976c7de26cf74efd98614,5412,13,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,raw_chain,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w2/regression/hls_traces/raw_chain_hls_csim_full.jsonl,07b591e471096758cde82ad01499ce089499514021fc18a8ad40746ce5825910,5425,13,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_cpp,,tohost,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w2/regression/hls_traces/tohost_hls_cpp_full.jsonl,2ae3237f913e1face3e1ff654da895e8e545dd5d90868deedb9f875d53608950,2817,7,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,hls_csim,,tohost,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w2/regression/hls_traces/tohost_hls_csim_full.jsonl,03670ace87ce23485f160c050ee60a47116de05c80efc9eeb4715f213f160d53,2824,7,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R0_POWER_ON_RESET,independent_alu,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/independent_alu_R0_POWER_ON_RESET.jsonl,ff9b150f95b3cd2571d5ed307e0955dbc908ff762709afe1865ed03272316f50,16188,30,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R1_RESET_FRONTEND_OUTSTANDING,independent_alu,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/independent_alu_R1_RESET_FRONTEND_OUTSTANDING.jsonl,67b7a3909ca7e13a7dcd6f3ac6a1fc93f81555e4c0c32e7d76c513dc0fc479e3,17078,33,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R2_RESET_ROB_NONEMPTY,raw_chain,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/raw_chain_R2_RESET_ROB_NONEMPTY.jsonl,2b92d3da583435c39ccfe1768ebade3e71fd299e733d4cde7428f5747eda4e8a,16848,33,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R3_RESET_IQ_NONEMPTY,raw_chain,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/raw_chain_R3_RESET_IQ_NONEMPTY.jsonl,fbb0cbb5db9f2fcc0184cdf813fadfc67ccc1ce4e0c901e7e405869c18a76d44,19241,37,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R4_RESET_LOAD_PENDING,load_store,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/load_store_R4_RESET_LOAD_PENDING.jsonl,8cd8295d0d49a258bd78df176831a48e44135bbc88ddf1412dbb0dbf9c200f21,29386,54,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R5_RESET_STORE_PENDING,tohost,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/tohost_R5_RESET_STORE_PENDING.jsonl,3df1df059035ba4d5a869add2f441edaca004e4f328f5a915195850dc15c9d59,18573,36,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R6_RESET_BRANCH_RECOVERY,branch_taken,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/branch_taken_R6_RESET_BRANCH_RECOVERY.jsonl,14c3a0973370730cd55e99f8d27596ffb61af206dbc0fd22312aa0ee18026dce,21265,40,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,R7_RESET_TRACE_BACKPRESSURE,independent_alu,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/independent_alu_R7_RESET_TRACE_BACKPRESSURE.jsonl,f95a6995afa2e133446d0ed6c0555cec769787dac96d0a28e3062ab12321b538,17041,33,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,B0_TRACE_READY_ALWAYS,independent_alu,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/independent_alu_B0_TRACE_READY_ALWAYS.jsonl,c4a0ef40058f43aa99a04d499c951d4c76dce459017613f433bcf5bf02cae384,16248,30,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,B1_TRACE_STALL_1,raw_chain,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/raw_chain_B1_TRACE_STALL_1.jsonl,ff2743640116b16ceb5bc12feeaacc614fd9234c53d8e9c206a472201d27201f,16083,30,210ad1900457b073806a54617d313a2c61a14e21
GATE4_0_W2,rtl_xsim,B2_TRACE_STALL_BURST,branch_taken,PASS,ARCHITECTURAL_PASS,reports/gate4_0/w2/rtl_traces/branch_taken_B2_TRACE_STALL_BURST.jsonl,7177a1cb82cadbeff05fe6211425986046bd00eb57d1efbc89cdfc9809b24662,17403,32,210ad1900457b073806a54617d313a2c61a14e21
