path,category,sha256,role,status
reports/gate5_4_preservation/pr0/pr0_results.md,FINAL_REPORT,84dcb9a942326edaebf8c64431e18d5fb1901db722b30e19b8d2bbe7354fd373,PR0 verdict and release flags,COMPLETE
reports/gate5_4_preservation/pr0/baseline_manifest.md,BASELINE,e3e7e045392388a15db768df84f67a8b609e0b94ea7372c769fe339c5c6c6938,checkpoint and hygiene freeze,COMPLETE
reports/gate5_4_preservation/pr0/accepted_runner_manifest.md,RUNNER_BINDING,7cd83abcddeab00c3f3c41ac7a991f27a1258656608c75c5586a3129ec82b95f,accepted command seeds oracle and hashes,COMPLETE
reports/gate5_4_preservation/pr0/current_runner_manifest.md,RUNNER_BINDING,8707b0bba3be5f66551765509eb1fb60fabc2ca3809ef6d66bdaa96dc93106ae,current failing invocation reconstruction,COMPLETE
reports/gate5_4_preservation/pr0/runner_diff.md,DIFF,e38da005010570c883a4fd2cb71e8b93caeb2419b0a37c946deb4c1b8b845583,semantic runner comparison,COMPLETE
reports/gate5_4_preservation/pr0/runner_file_diff.csv,DIFF,072673d002384a4e850e6defbc6d37b17c5f9ef1d476967a09de99a66d9257d0,machine-readable file comparison,COMPLETE
reports/gate5_4_preservation/pr0/random_test_history.csv,HISTORY,e983d161c5aa1af79d200909e78527c632e5df61e8e1c85a5debd70b5acff396,random runner test and source history,COMPLETE
reports/gate5_4_preservation/pr0/preservation_cross_matrix.csv,CROSS_MATRIX,f4593b83527a0a3181e16e218e379007cfc21336d597c75017840f36b4f531cc,four-way source-test isolation,COMPLETE
reports/gate5_4_preservation/pr0/first_divergence.md,DIAGNOSTIC,aab1b2d8bd9598a6f2239380bfc6e167b15013f235b63462f5874ddc749f1c22,first failing seed cycle and state,COMPLETE
reports/gate5_4_preservation/pr0/root_cause_analysis.md,ANALYSIS,dbacdae0c6780774932d1b0419f6a3dc6b8b726a1cc3a0936de94ea3f1b5a605,root cause classification,COMPLETE
reports/gate5_4_preservation/pr0/future_preservation_policy.md,POLICY,1572f3d24339a602c0228410e4928229888087fff34a407195ccd82e7d9f3063,versioned future harness policy,COMPLETE
/tmp/boom_hls/pr0/logs/A_accepted_source_accepted_test.runner.log,REPRO_LOG,5736b09d9eb241c580d2a60bcb4d68a7c7d2099ba877ca8a2ce6c702a4664920,accepted exact runner reproduction,EXTERNAL_TMP
/tmp/boom_hls/pr0/logs/B_accepted_source_current_test.log,CROSS_LOG,babd4f2be1f6ceadb46aabeb0c4ad5758e3bc6626039574943a068fdb380d21b,accepted source with B2 test,EXTERNAL_TMP
/tmp/boom_hls/pr0/logs/C_current_source_accepted_test.log,CROSS_LOG,5736b09d9eb241c580d2a60bcb4d68a7c7d2099ba877ca8a2ce6c702a4664920,current baseline with accepted test,EXTERNAL_TMP
/tmp/boom_hls/pr0/logs/D_current_source_current_test.log,CROSS_LOG,babd4f2be1f6ceadb46aabeb0c4ad5758e3bc6626039574943a068fdb380d21b,current baseline with B2 test,EXTERNAL_TMP
/tmp/boom_hls/pr0/logs/PF1_source_accepted_test.log,SUPPLEMENTAL_LOG,5736b09d9eb241c580d2a60bcb4d68a7c7d2099ba877ca8a2ce6c702a4664920,PF1 source with accepted test,EXTERNAL_TMP
/tmp/boom_hls/pr0/logs/first_divergence.log,DIAGNOSTIC_LOG,5dd678d3bd663c334078ef92557c0d67405721ad8583199ce0ddf2cbad4a67be,first mismatch state snapshot,EXTERNAL_TMP
git:a48e527f78e42945969e945c63f501641eae179c,GIT_OID,a48e527f78e42945969e945c63f501641eae179c,Gate 5.3 accepted checkpoint,ACCEPTED
git:490788d8f20a43b802f5457d9e4fb55915a2a9e7,GIT_OID,490788d8f20a43b802f5457d9e4fb55915a2a9e7,current committed baseline,BASELINE
src/boom_all.cpp,PROTECTED_GUARD,d6f885632ddd445729adda8148ea256e67683ccc8e7f2b10c9951e915d92c76c,excluded unchanged source,NOT_TOUCHED
