path,file_type,whitespace_error_count,crlf_present,trailing_space_present,tracked_or_untracked,artifact_role,durability,repair_class,action
docs/equivalence_summary.md,md,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,NORMALIZABLE_DERIVED_TEXT,KEEP
docs/implementation_status.md,md,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,NORMALIZABLE_DERIVED_TEXT,KEEP
docs/predictor_ftq_product_integration.md,md,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,NORMALIZABLE_DERIVED_TEXT,KEEP
include/boom_state.hpp,hpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
include/boom_types.hpp,hpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
include/predictor.hpp,hpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/branch.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/commit.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/frontend.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/predictor.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/reset.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/synth_module_tops.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
src/boom_core_merged.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
tb/differential/pf4_product_programs.cpp,cpp,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
tb/differential/pf5_commit_bim_training_tests.cpp,cpp,0,false,false,UNTRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
tb/differential/pf5_commit_bim_training_random_tests.cpp,cpp,0,false,false,UNTRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
rtl_tb/pf4_full_core_rtl_tb.sv,sv,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
rtl_tb/pf5_commit_bim_training_rtl_tb.sv,sv,0,false,false,UNTRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate4_0/run_w3_rtl.sh,sh,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate5_2/run_r2_csim.sh,sh,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate5_3/run_b3i_full_core_native.sh,sh,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate5_3/run_b3i_random.sh,sh,0,false,false,TRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate5_4/build_pf5_product_programs.sh,sh,0,false,false,UNTRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
scripts/gate5_4/pf5_commit_bim_training_csynth.tcl,tcl,0,false,false,UNTRACKED,PF5_COMMIT_ARTIFACT,COMMIT_SCOPE,CANONICAL_SOURCE,KEEP
