gate,producer,test,program,outcome,comparison,path,sha256,bytes,records,commit
GATE4_0_W1,hls_cpp,,branch_not_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/branch_not_taken_hls_cpp_full.jsonl,c12910d7ef07c9ed61defc441a3dcf596ab6e7fa204de00b34207bee868ae745,6694,16,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_csim,,branch_not_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/branch_not_taken_hls_csim_full.jsonl,879c383679ca06d5758ee1f87f2a2085549a8d3d38baaf83d9682314d2d14309,6710,16,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_cpp,,branch_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/branch_taken_hls_cpp_full.jsonl,546a9fbeae0d700e5b233ea8ed8c7741b08983ad45a17dd13d298d199acfef08,6154,15,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_csim,,branch_taken,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/branch_taken_hls_csim_full.jsonl,3f7bce43dc475ddf287087312ca3fc6ea1602ae985bfe8115299d53339ba5d61,6169,15,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_cpp,,independent_alu,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/independent_alu_hls_cpp_full.jsonl,6c95f599798fbf7cd85b991880dd4949d9bbee26652f4f2d258962fed343f494,5489,13,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_csim,,independent_alu,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/independent_alu_hls_csim_full.jsonl,1c204807978037ed6f1cbfa0ae564db0dcc31bf5e8284af7a04db2b7bae46b42,5502,13,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_cpp,,load_store,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w1/regression/hls_traces/load_store_hls_cpp_full.jsonl,f9308f97371046c695bf507e8efa489d1ca9964720bc2b5bbf3dc0a2c9d72b62,5951,14,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_csim,,load_store,PASS,NOT_IN_FROZEN_10_TRACE_SET,reports/gate4_0/w1/regression/hls_traces/load_store_hls_csim_full.jsonl,3c64bfb4df1c6454c7ea47e542634b7782a7ba3c84c98cdc91e0b15c79304dc4,5965,14,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_cpp,,nested_branch,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/nested_branch_hls_cpp_full.jsonl,ca04cbcd6261625a23398b4e310cb48652bf54a5e5f43200efe69f8dff355002,6875,17,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
GATE4_0_W1,hls_csim,,nested_branch,PASS,PASS_BYTE_IDENTICAL,reports/gate4_0/w1/regression/hls_traces/nested_branch_hls_csim_full.jsonl,14024a8294cdc4f9eab6bbbb54b45f81b46acc7e1910c4e8d6c187ccd079346f,6892,17,fa3dbcc8d9559d0da5a0aa8d401816404124fb99
