path,sha256,status
tb/differential/g6_l1_parameterized_lq_sq_tests.cpp,5f97111c6390cc0547e821c80081e3ef750167082f7a539e5ccd8dc3c0ead61e,VERIFIED
scripts/gate6_0/l1_parameterized_csim.tcl,2f0d0b62a119b300efa4da0515dcef8559b9526b2f8633019c04779a01a0f891,VERIFIED
scripts/gate6_0/run_l1_parameterized_csim.sh,57a24389bc4af0383fa43bd976281e1d6c776445a970008671ebf9759a1d8ffc,VERIFIED
src/boom_core_merged.cpp,76d78e9052344a0b1e06c0e723c473d37e0b2dd7679a2ab3b8fbbeed9f1dff9c,VERIFIED
src/boom_all.cpp,d6f885632ddd445729adda8148ea256e67683ccc8e7f2b10c9951e915d92c76c,UNCHANGED
reports/gate6_0_full_lsu/l1/pf3/full_core_rtl_matrix.csv,e9e0aa442b9395e3ba2fc9b9090f83059c87ba12a7732fae3845f5b398980a00,VERIFIED_PASS_12_OF_12
reports/gate6_0_full_lsu/l1/pf5/full_core_rtl_matrix.csv,17f9b6c4a2495e826d2a5a47648165b27caa7dfdbc9b29aa96f10d95b03c2bfc,VERIFIED_PASS_12_OF_12
reports/gate6_0_full_lsu/l1/pf5/source_freshness_manifest.csv,e2c3948e3fc18553c6bf67f8e74d25272f2e4b932ee4a80df4e05a22e1290c20,VERIFIED_CURRENT_SOURCE
reports/gate6_0_full_lsu/l1/pf6_integrated/full_core_rtl_matrix.csv,8a35fd5cd60ccdb86705986b394d84af341d968b6c29a3f300e37b34b8f50c7c,VERIFIED_PASS_12_OF_12
reports/gate6_0_full_lsu/l1/pf6_integrated/source_freshness_manifest.csv,e2c3948e3fc18553c6bf67f8e74d25272f2e4b932ee4a80df4e05a22e1290c20,VERIFIED_CURRENT_SOURCE
reports/gate6_0_full_lsu/l1/w4/w4_multi_writeback_tests.log,d7c324628ef529c26461f008a017069ad150be5732618a113e1a9dafbcb96fb0,VERIFIED_PASS_13_OF_13
reports/gate6_0_full_lsu/l1/rvc/r2_full_core_rtl_matrix.csv,0a6239b3ffe42871244c20e71cb3c421a3c284582b3a79b591ee5007138547d7,VERIFIED_PASS_11_OF_11
reports/gate6_0_full_lsu/l1/focused_resume/focused_phase_timing.csv,165df10bfd5d79e4b928782c4703ec1210a887d9e4d4246e668fb107a2c63052,BLOCKER_PROVENANCE_EXIT_137
reports/gate6_0_full_lsu/l1/focused_resume/logs/csynth.log,5398298e3af78601d3d93d1480eb2b78a4c750c783721a59e4876e2bdb65a656,BLOCKER_PROVENANCE_OOM
reports/gate6_0_full_lsu/l1/focused_resume_sliced/logs/csynth.log,353aac3fda012e553d1d8accf912a52b606b0fda1a6e88f1fd99be0120cff32e,BLOCKER_PROVENANCE_20GB_WATCHDOG
reports/gate6_0_full_lsu/l1/focused_resume_grouped/logs/group1_csynth.log,300e1d47cf961a550b50ac1500c0e693e078d60dc1a3b7c490a829fd28393245,BLOCKER_PROVENANCE_20GB_WATCHDOG
scripts/gate6_0/focused_cases.csv,2d696ac257484f32bc3b07de1f40db5fd6271e22a0ee0442d2cac93f1bc3e50f,VERIFIED_80_CASE_CATALOG
scripts/gate6_0/run_l1r_focused_rtl.sh,3b866f734dc7a16d52911505af5157be1cceea3e7aab59708667ad2b3ea63310,VERIFIED_INFRASTRUCTURE
scripts/gate6_0/l1r_focused_csynth.tcl,965453f3abc197e786ac3b606a00a0f7b2ad7619d7f9809e661e8dc745438ac0,VERIFIED_INFRASTRUCTURE
tb/differential/g6_l1r_focused_top.cpp,7791ec6b51b25109789929eff42c2c25ad79fcd89abaa8ef6ace5b7152af6fd7,VERIFIED_NATIVE_ONLY
rtl_tb/gate6_0/g6_l1r_focused_tb.sv,5565650c56f17d2ee60fbb1ee9dc8fcc7157c19aed55b4906a1d213d07e6a595,NOT_EXECUTED_NO_GENERATED_RTL
rtl_tb/gate6_0/g6_l1r_focused_80_path_b_tb.sv,926e38c580d1847b3eb5aa3a4e9d14e4f9b605d35cbae705f3b238de56cd400f,VERIFIED_PASS_10_OF_10
scripts/gate6_0/run_l1r_focused_80_path_b_rtl.sh,633f7360cde0adb3cfe69fef0b528c154e6e026c45e3e4fb04196d7f43454663,VERIFIED_FRESH_XSIM_RUNNER
reports/gate6_0_full_lsu/l1/focused_rtl_redesign/canonical_focused_rtl_acceptance.csv,5ed16fea664d68dd917a700afa8fb5c8dba8a6c277dcd312be2741af8087a913,VERIFIED_PASS_80_OF_80
reports/gate6_0_full_lsu/l1/focused_rtl_redesign/path_b_case_evidence.csv,7f6deb8c4d4d8b0d73ae704c2d692df967282aaa7948114c4daaa4f0f730fd0a,VERIFIED_PASS_10_OF_10
